id,name,age,score
222309,Name43783,18,93.55100791226512
835457,Name62797,42,7.145982850876664
396042,Name93492,35,43.41121758552697
,Name54254,invalid,25.689548053345256
926411,Name48822,21,96.99953558662283
221347,Name59862,83,42.85245563755621
,Name59296,invalid,22.22036542001964
690753,Name93549,69,61.54994271272639
393815,Name61581,86,93.35168405318916
,Name10784,invalid,90.02449845966412
183257,Name65048,72,6.667953482726063
561452,Name44087,78,98.04513546038316
799305,Name92969,69,74.06040834799008
526948,Name90607,78,6.873141665314309
368664,Name95773,38,14.455758327362044
984377,Name55760,56,13.608103301970143
571956,Name97115,18,87.92078746936713
546512,Name20270,81,52.11463005033487
776695,Name96487,55,30.667219414294422
378659,Name99115,39,7.851840121456877
333759,Name28463,55,18.29547850933467
577841,Name49895,82,56.790106880363155
,Name80192,invalid,45.467300616936804
,Name86691,invalid,66.19567922042248
,Name46420,invalid,27.010830154985033
929399,Name70911,37,23.197853074202
562281,Name61406,22,87.6006594079285
822467,Name80825,61,43.09011890813198
367894,Name28381,71,92.5894792595374
732660,Name55450,42,23.791203254143646
652321,Name59296,71,49.71532463288367
650788,Name77340,29,4.5061806171246
518869,Name51709,18,23.309421468248026
101689,Name85607,64,95.24653972298549
740451,Name51809,68,54.33030719402135
198513,Name59006,59,33.01815916005735
251317,Name13163,74,39.51064869309916
222075,Name10773,46,57.16990885501937
,Name87428,invalid,88.21762259015635
984322,Name81726,85,26.066405418422367
891891,Name48080,32,19.253392620146002
,Name74892,invalid,68.04682703245868
,Name99497,invalid,44.01942787609018
972385,Name56772,25,71.48248489022308
,Name53612,invalid,63.894438633659476
673739,Name39845,68,85.63149298101492
541039,Name58699,74,62.36984237266792
,Name88252,invalid,98.6680014287509
572107,Name28745,27,62.120899912261784
,Name20986,invalid,60.76394415944241
,Name49078,invalid,61.80923553391284
522654,Name52232,71,74.00465786494759
574388,Name34963,38,78.21095134513746
828250,Name50953,82,70.0308815699342
382953,Name66193,69,29.95668471799081
448122,Name39115,53,11.761040998417915
165341,Name61560,65,84.16721682687552
131165,Name74688,51,92.72037809402156
234004,Name21106,68,92.26807546014528
458730,Name68282,46,36.23604278556536
925152,Name15715,72,73.14211417854597
242718,Name89108,71,83.05327106563281
774658,Name58173,54,44.299452891993205
388824,Name6597,66,77.57090046420379
832552,Name83728,89,32.10259365875808
,Name69391,invalid,42.95129841425628
123226,Name66679,51,78.7000742375658
166675,Name10658,34,7.417679884058515
387597,Name68002,69,53.437646792114414
654797,Name20135,58,20.099541964473524
901831,Name40232,66,77.56346018435003
142449,Name21361,38,31.304347066082848
567172,Name67979,38,8.807858146179937
933081,Name82152,18,56.132232240341885
664726,Name40383,80,8.649845118154985
830908,Name1045,65,61.924819576777914
715523,Name79977,36,8.22950489656793
612030,Name34656,29,6.652954091890761
174594,Name93564,51,70.2313702081682
,Name46116,invalid,93.20290407099638
322100,Name55605,55,81.58137192355616
703044,Name52194,37,71.09736245806654
375492,Name91158,82,37.954524971299676
,Name66308,invalid,91.67653951994608
912933,Name6493,37,35.45709537260441
433380,Name52805,63,44.445602693408006
117022,Name49280,29,46.28175362700667
123429,Name4125,53,60.115732100630304
619156,Name32909,60,90.34932912711334
,Name96289,invalid,99.58901558585862
185048,Name19423,70,0.5746707586020028
845055,Name67759,39,80.57125665436962
966582,Name96512,78,36.457015773498725
793441,Name80541,69,48.95189448106362
406066,Name50102,29,19.94825456379895
912561,Name24058,77,37.810420832171395
345806,Name42530,61,41.35103379126732
625306,Name39250,69,93.48440715194502
,Name23915,invalid,38.339224748353004
190609,Name45908,68,1.024664963140609
911122,Name21646,78,48.6456181212817
629974,Name21870,71,83.09734079808202
381454,Name2710,63,29.594256230412384
719337,Name72338,18,65.50143998236462
964315,Name47730,53,42.7398099272585
607921,Name14472,70,32.6950569300995
,Name50416,invalid,67.33568670006504
802270,Name63512,21,77.60023785947347
671609,Name53290,83,12.502976417176448
367974,Name23282,87,7.291464286531735
499246,Name64785,30,0.18819583991460664
,Name7703,invalid,72.10895186535136
854524,Name29341,28,60.01597709317601
340260,Name73058,86,2.044569972561705
522648,Name11564,18,54.963799132030466
324053,Name79421,54,30.495353723633045
914314,Name60924,46,16.131027026770205
,Name16200,invalid,98.6700455162774
234768,Name617,44,47.769061550361926
915269,Name11108,24,76.88328094832345
485280,Name16647,40,53.15550766323817
876338,Name7199,38,55.933941698994275
,Name99720,invalid,5.160895561003043
235181,Name68419,37,48.219258332818114
105457,Name20124,82,38.09649203626581
,Name35884,invalid,28.858851021535703
480687,Name36515,37,34.51200655380602
,Name12160,invalid,98.52717208994065
,Name82706,invalid,92.91323848096253
,Name91841,invalid,80.58527655266194
,Name91387,invalid,47.03112135595811
443670,Name90057,61,81.44083454392297
630832,Name24396,69,29.13515208209111
221462,Name17372,69,85.38565424396677
659573,Name46224,47,76.71185955484059
,Name11286,invalid,24.70810861671282
901248,Name41314,20,85.31032339774278
344043,Name4332,50,89.52468253451171
155531,Name62213,50,68.51005326361437
169054,Name55586,78,0.5720693739733385
